,real_target,QS-Prediction,AS-Prediction
1493,hematemesis : general,hematemesis is the most common disorder in the world .,hematemesis . symptoms include vomiting of blood and hemoptysis sclerosis . bowel syndrome : symptoms
1494,avascular necrosis : general,avascular necrosis is a common disorder . .,avascular necrosis . symptoms include joint pain . symptomatic sclerosis : general . obstructive pulmonary disease
1495,pyogenic granuloma : diagnosis,pyogenic granuloma : diagnosis .,"a pyogenic granuloma . squamous cell carcinoma, basal cell carcinoma : diagnosis"
1496,sarcoidosis : physiology,sarcoidosis : physiology . .,granulomatous inflammation : physiology : causes . sarcoidosis : symptoms : treatments
1497,locked-in syndrome : treatments,locked-in syndrome is a chronic disorder . it is thought to,stimulation of muscle reflexes with electrodes . lis symptomatic . treatments : treatments . experts . expert .
1498,systemic scleroderma : diagnosis,systemic scleroderma asymptomatic . ,[{'summary_text': "raynaud's : diagnostic physiology : diagnosis . scleroderma . diagnosis"}]
1499,epispadias : symptoms,epispadiasis symptoms : symptoms of . .,epispadias : physiology : causes . physiologic epistrophy : symptoms : treatments : diagnosis
1500,cutaneous leishmaniasis : diagnosis,cutaneous leishmaniasis is the most common condition in the world,staphylococcus aureus . diagnosis : physiology : diagnosis - diagnosis . epidemiology : treatments
1501,intellectual disability : causes,intellectual disability is a common cause . a wide range of causes,intellectual disability : physiology - causes : causes physiologic . symbiosis : cause
1502,alice in wonderland syndrome : general,alice in wonderland syndrome is a common disorder . it,alice in wonderland syndrome . he says symptoms include epstein–barr virus . symptoms : causes physiology
1503,sanfilippo syndrome : symptoms,sanfilippo syndrome . symptoms are not uncommon in the ,sanfilippo syndrome : physiology : symptoms . socioeconomic status quo : signs : diagnosis
1504,milk allergy : prevention,milk allergy prevention : prevention . click here for more information .,eczema in infants : preventive - prevention - : prevention . expert: prevention of food allergy : treatments
1505,kernicterus : general,kernicterus is a syringe .,kernicterus : physiology : causes . bilirubin-induced brain dysplasia . causes
1506,cyanosis : diagnosis,cyanosis is a rare disease . it can cause,cyanosis : treatments . dermatologists : diagnosis : treatment physiology - treatments : diagnoses
1507,folie à deux : symptoms,folie à deux : symptoms of a . ,shared delusional disorder : causes . experts: causes of psychiatric delusion : physiology
1508,inverted papilloma : diagnosis,inverted papilloma : diagnosis . .,inverted papilloma : diagnosis physiology : diagnoses . hepatitis c : diagnostic
1509,pain : treatments,pain treatments : treatments . a randomized controlled trial .,chronic pain : treatments physiology - treatments - physiotherapy - treatment . physiologic pain syndrome : treatment
1510,measles : diagnosis,measles is a rare disease . it has a,"[{'summary_text': ""koplik's spots . diagnosis of measles requires diagnosis . symptoms include cough, coryza, or conjunctivitis .""}]"
1511,dissociative identity disorder : symptoms,dissociative identity disorder . symptoms : symptoms . .,dissociative amnesia . symptoms include inability to recall personal information . dissociation : symptoms . diagnosis: symptoms
1512,folliculitis : treatments,folliculitis is a chronic disease . it can cause,fungal folliculitis . septic treatment : treatments physiology . treatments : prevention . san francisco-based disease
1513,single parent : general,single parent : a symphony . ,single-parent : a . b. d. e. coli . the british embassy in california is .
1514,hemothorax : general,hemothorax : a systoma,hemothorax : physiology : symptoms : causes . hemothorac disease : general
1515,tarsal coalition : diagnosis,tarsal coalition : diagnosis of . sym,rear foot pain adolescent . x-rays : treatments . treatments : interventions . experts: treatments
1516,chordoma : treatments,chordoma treatments : treatments . san franci,chordoma : treatments physiology : prevention : interventions physiologique - interventions - symbiosis
1517,atopic dermatitis : causes,atopic dermatitis is a common disorder . ,atopic dermatitis : physiology : causes . physiologic atopia : symptoms
1518,listeriosis : prevention,listeriosis is the prevention of a traumatic brain disorder .,listeriosis in pregnancy : prevention : treatments - prevention . socio-economic status quo syndrome : treatment
1519,epileptic seizure : treatments,epileptic seizure : treatments for a coma,status epilepticus : treatments - treatments : prevention - interventions . experts: prevention of seizure: treatments
1520,lipid storage disorder : diagnosis,lipid storage disorder a common disorder . symptoms are not uncommon ,"lipid storage disorder . diagnosis can be achieved through tests . tests include clinical examination, biopsy, genetic testing, molecular analysis of cells ."
1521,arachnoid cyst : general,arachnoid cyst is a common occurrence in the ,arachnoid cyst : physiology : symptoms : causes . causes : treatments : general . sociology: causes
1522,papular mucinosis : treatments,papular mucinosis . treatments for the disease .,"melphalan and cyclophosphamide . remission of the disease : treatments . etretinate, melpherson syndrome ."
1523,blastocystis : general,blastocystis : u.s. embassy,[{'summary_text': "blastocystis . he says it's a genus of single-celled heterokont . parasite : general"}]
1524,osteochondrosis : causes,osteochondrosis is a chronic disease . hepati,anatomic conformation and heredity : physiology : causes . symbiosis : cause
1525,brain ischemia : physiology,brain ischemia physiology : physio . .,brain ischemia : physiological physiology . physiologic ischemic syndrome : symptoms : causes
1526,basal ganglia disease : general,basal ganglia disease is the most common disease in the world,basal ganglia disease . causes : physiology : causes . socioeconomics : symptoms
1527,cerebral palsy : causes,cerebral palsy is a chronic disease . it can cause ,cerebral palsy : physiology - causes : causes physiological : symptoms : treatments : diagnosis : general
1528,fanconi anemia : physiology,fanconi anemia asymptomatic . physiology ,myelodysplastic syndrome : physiology : symptoms : treatments  symbiosis : diagnosis
1529,pericardial effusion : general,pericardial effusion is a common disorder . .,pericardial effusion . hepatitis c : physiology . ophthalmology : general
1530,epididymitis : diagnosis,epididymitis : diagnosis of a coma ,epididymitis . diagnosis : diagnosis . expert expert: diagnose physiologic syphilis : symptoms
1531,chronic kidney disease : causes,chronic kidney disease is a common disease . euphori,mesoamerican nephropathy . he says ckd is a common cause of death . disease : causes
1532,suicidal ideation : general,suicidal ideation : a general . .,suicidal ideation . general : physiology - general . physiologies : general physiologic : treatments
1533,situs inversus : symptoms,situs inversus versus sydney : symptoms ,situs inversus totalis : physiology - diagnosis . physiologic sclerosis : symptoms : diagnosis
1534,neonatal alloimmune thrombocytopenia : physiology,neonatal alloimmune thrombocytopenia ,fetal hemorrhage : physiology : causes physiologic : treatments : prevention : interventions : diagnosis
1535,halo nevus : causes,halo nevus causes a series of strokes .,a nevi . causes of the attack are unknown . cause of attack is unknown - cause of death : causes .
1536,nocardiosis : symptoms,nocardiosis symptoms : symptoms of a coma,pulmonary infiltrates : physiology : diagnosis : treatments physiologique : diagnostic physiologic : symptoms
1537,transient ischemic attack : physiology,transient ischemic attack : physiology . .,ischemia in the brain : physiology : causes of diagnosis - causes - physiologies : symptoms : treatments
1538,trematoda : general,trematoda is a tainted ,trematoda . phylum platyhelminthes : physiology . symptoms : causes . causes
1539,neurocysticercosis : physiology,neurocysticercosis : physiology ,neurocysticercosis . systoma : physiology : causes . causes
1540,fibromuscular dysplasia : general,fibromuscular dysplasia : symptomatic .,fibromuscular dysplasia . hepatitis c : causes . causes : physiology .
1541,leukoaraiosis : causes,leukoaraiosis : causes of . .,"subcortical white matter hyperintensity . ischemia, micro-bleeding|hemorrhages, gliosis ."
1542,macrophage activation syndrome : causes,macrophage activation syndrome : causes of the disease . ,mas : physiology : causes physiological . symbiosis . causes of marrow : symptoms
1543,polymicrogyria : causes,polymicrogyria : causes of . .,polymicrogyria . causes include neuronal migration or early cortical development . cause of fetal development : causes
1544,persistent fetal circulation : general,persistent fetal circulation : a symbiotic ,persistent fetal circulation . pulmonary hypertension of the newborn : physiology . diagnosis : diagnosis . physiologic
1545,idiopathic orbital inflammatory disease : general,idiopathic orbital inflammatory disease is a common disease,orbital pseudotumor | image : physiology . . symbiosis .
1546,tietze syndrome : symptoms,tietze syndrome is a common disorder . it is associated with,[{'summary_text': "tietze's syndrome : symptoms : causes . symptoms - causes - symptoms . causes : physiology : treatments"}]
1547,multiple sclerosis : physiology,multiple sclerosis physiology : physio . .,klüver-barrera myelin staining . he says ms : physiology
1548,hallux rigidus : treatments,hallux rigidus is a common condition . it is common to,hallux rigidus . he says surgery focuses on general physiology . general hepatitis c : treatments
